name,id,ifo,ifx,style
csvを作成する,createcsv,"designcsvfromcreate,diagramfromcsv,docfromcsv",,
図が出力される,diagramfromcsv,,,
notionにドキュメントを出力できる(notionにかぎらない),docfromcsv,,,
サーバーでcsvから出力データをデザインできる,designcsvfromcreate,updatedatabase,,
好みのデータベースをアップデートできる,updatedatabase,"querygitcommentfromdatabase,analogyfossfromcsv,analogycommentfromcsv",,
デザインされたデータからgitコメントを固定できる,querygitcommentfromdatabase,designcsvfromgitlog,,
固定されたgitlogからcsvに合わせたデータをデザインできる,designcsvfromgitlog,updatedatabase,,
csvから参考となるプロジェクトを類推することができる,analogyfossfromcsv,filesfromanalogy,,
csvからコメントを組成することができる,analogycommentfromcsv,addcomment,,
類推されたFOSSから、ファイル構成を取得できる,filesfromanalogy,getstructure,,
選択されたファイル構成からファイルを組成できる,getstructure,addcomment,,
コメントをファイル内に追加することができる,addcomment,analogycodesfromcomment,,
追加されたコメントからコードを類推することができる,analogycodesfromcomment,,,
