                    項目,概略, 完了未完了,項目重要度,                                         タグ,                                                   リレーション
                同値分割,    ,        yet,      Must,                             ブラックボックス,
              境界値分析,    ,        yet,      Must,                             ブラックボックス,
      デシジョンテーブル,    ,        yet,      Must,                             ブラックボックス,
          ステートマシン,    ,        yet,      Must,                             ブラックボックス,
                命令網羅,    ,        yet,      Must,                             ホワイトボックス,
                分岐網羅,    ,        yet,      Must,                             ホワイトボックス,
                条件網羅,    ,        yet,      Must,                             ホワイトボックス,
表示（文言、レイアウト）,    ,        yet,      Must,                                       その他,
            画面縮小最大,    ,        yet,      Must,                                       その他,
                         
